NAME,STATUS,ISIN CODE,CODE,TRADING COUNTER NAME
17LIVE GROUP  LIMITED,,KYG8074N1060,LVR,17LIVE GROUP
17LIVE GROUP LIMITED W281207,,KYG9481M1116,VT2W,17LIVE W281207
3R LUX US$500M9.75%N310205A,,US88563PAA66,ZN2B,3R Lux n9.75%310205A
3R LUX US$500M9.75%N310205R,,USL9R621AA97,EORB,3R Lux n9.75%310205R
8TELECOM INTL HOLDINGS CO LTD,,BMG3087Y2074,AZG,8Telecom
9R LIMITED,,SGXE45420721,1Y1,9R
9RW270628,,SGXN69651119,KJZW,9RW270628
AANJANEYA US$40M5.44%CB180322,,XS0907573850,2RUB,Aanjaneya cb180322S
ABF SPORE BOND INDEX FUND ETF,,SG1S08926457,A35,ABF SG BOND ETF
ABJA INV US$1B5.45%N280124,,XS1753595328,8GCB,ABJA n5.45%280124S
ABJA INV US$300M4.45%N230124,,XS1753594198,8GBB,ABJA n4.45%230124S
ABR HOLDINGS LIMITED,,SG0533000253,533,ABR
ABUNDANCE INTERNATIONAL LTD,,SG1I02877971,541,Abundance Intl
ABUNDANTE LIMITED,,SG1F41856716,570,Abundante
AC ENER FIN US$300M5.1%N,,XS2258819874,RKIB,AC Ener n5.1%S
AC ENER FINUS$110M5.25%N290212,,XS1946107007,IDTB,AC Ener n5.25%290212S
ACCRELIST LTD,,SGXE69448095,QZG,Accrelist Ltd
ACEN FIN US$400M4%N,,XS2382032956,ZDJB,ACEN Fin n4%S
ACESIAN PARTNERS LIMITED,,SG1Q66923448,5FW,Acesian Partners
ACMA LTD.,,SG1BB6000006,AYV,Acma
ACROMETA GROUP LIMITED,,SG1CH1000006,43F,AcroMeta
ACROPHYTE HOSPITALITY TRUST,,SGXC80011726,XZL,Acro HTrust USD
ACUPETROLE US$600M7.5%N350713A,,US00110RAA59,UBHB,AcuPetrolen7.5%350713A
ACUPETROLE US$600M7.5%N350713R,,USL0R80QAA10,Y6RB,AcuPetrolen7.5%350713R
ADANI INTL US$300M3%N310216A,,US00654UAA07,W1RB,Adani Intl n3%310216A
ADANI INTL US$300M3%N310216R,,XS2267100514,8T6B,Adani Intl n3%310216R
ADANIELECT US$1B3.949%N300212A,,US00654GAA13,QPUB,AdaniEle n3.949%300212A
ADANIELECT US$1B3.949%N300212R,,XS2109438205,93CB,AdaniEle n3.949%300212R
ADANIELECUS$300M3.867%N310722A,,US00654GAB95,Y1GB,AdaniEle n3.867%310722A
ADANIELECUS$300M3.867%N310722R,,XS2367109803,TIPB,AdaniEle n3.867%310722R
ADANIPORTS US$500M4%N270730A,,US00652MAD48,76EB,AdaniPorts n4%270730A
ADANIPORTS US$500M4%N270730R,,XS1636266832,76FB,AdaniPorts n4%270730R
ADANIPORTS US$750M4.2%N270804A,,US00652MAG78,JYXB,AdaniPorts n4.2%270804A
ADANIPORTS US$750M4.2%N270804R,,USY00130VS35,TJPB,AdaniPorts n4.2%270804R
ADANIPORTSUS$450M5%N410802A,,US00652MAJ18,VO5B,AdaniPortsn5%410802A
ADANIPORTSUS$450M5%N410802R,,USY00130YU53,9THB,AdaniPortsn5%410802R
ADANIPORTSUS$500M3.1%N310202A,,US00652MAH51,TXYB,AdaniPortsn3.1%310202A
ADANIPORTSUS$500M3.1%N310202R,,USY00130XS17,53UB,AdaniPortsn3.1%310202R
ADANIPORTSUS$500M3.95%N220119A,,US00652MAC64,67IB,AdaniPortsn3.95%220119A
ADANIPORTSUS$500M3.95%N220119R,,USY00130HS90,67JB,AdaniPortsn3.95%220119R
ADANIPORTUS$750M4.375%N290703A,,US00652MAE21,JLCB,AdaniPortsn4.375%290703A
ADANIPORTUS$750M4.375%N290703R,,USY00130RP42,ZTWB,AdaniPortsn4.375%290703R
ADANIPOSUS$300M3.828%N320202A,,US00652MAK80,YV2B,AdaniPon3.828%320202A
ADANIPOSUS$300M3.828%N320202R,,USY00130YV37,XBPB,AdaniPon3.828%320202R
ADANIR US$362.5M4.625%N391015A,,US00654CAA09,FAYB,AdaniRen n4.625%391015A
ADANIR US$362.5M4.625%N391015R,,XS2057842176,GLKB,AdaniRen n4.625%391015R
ADANITRANS US$500M4%N260803A,,US00652XAA63,4O3B,AdaniTran n4%260803A
ADANITRANS US$500M4%N260803R,,XS1391575161,4O2B,AdaniTran n4%260803R
ADANITRANSUS$500M4.25%N360521A,,US00652XAB47,QONB,AdaniTran n4.25%360521A
ADANITRANSUS$500M4.25%N360521R,,XS2080214864,VN3B,AdaniTran n4.25%360521R
ADDHERO US$500M8%N300930A,,XS2785423273,NQVB,AddHero n8%300930A
ADDHERO US$500M8%N300930D,,XS2785423604,ITUB,AddHero n8%300930D
ADDHERO US$500M8%N300930R,,XS2785423430,LSXB,AddHero n8%300930R
ADDHERO US$650M7.5%N290930A,,XS2785422622,MWRB,AddHero n7.5%290930A
ADDHERO US$650M7.5%N290930D,,XS2785422978,FNSB,AddHero n7.5%290930D
ADDHERO US$650M7.5%N290930R,,XS2785422895,OKTB,AddHero n7.5%290930R
ADDHERO US$650M8.8%N310930A,,XS2785423786,FDAB,AddHero n8.8%310930A
ADDHERO US$650M8.8%N310930D,,XS2785424081,ZLJB,AddHero n8.8%310930D
ADDHERO US$650M8.8%N310930R,,XS2785423943,RYIB,AddHero n8.8%310930R
ADDVALUE S$5.006340M6%CB271104,,SGXF47366798,MYLB,Addvalue 6%271104#
ADDVALUE TECHNOLOGIES LTD,,SG1I67883666,A31,Addvalue Tech
ADECOAGRO US$500M 6% N270921A,,US00676LAA44,81BB,Adecoagro n6%270921A
ADECOAGRO US$500M 6% N270921R,,USL00849AA47,81CB,Adecoagro n6%270921R
ADECOAGRO US$500M7.5% N320729A,,US00676LAC00,JHLB,Adecoagro n7.5%320729A
ADECOAGRO US$500M7.5% N320729R,,USL00849AB20,XSWB,Adecoagro n7.5%320729R
ADVANCED HOLDINGS LTD.,,SG1CD5000001,BLZ,Advanced
ADVANCED INFO SER TH SDR 10TO1,,SGXE32247038,TADD,AIS TH SDR 10to1
ADVANCEDSYSTEMS AUTO W261224,,SGXN58164876,9NHW,AdvancedSys W261224
ADVANCEDSYSTEMS AUTOMATION,,SGXE59672050,WJ9,AdvancedSystems
ADVANCER GLOBAL LIMITED,,SG1CJ7000006,43Q,Advancer Global
ADVENTUS HOLDINGS LIMITED,,SG1P24916816,5EF,Adventus
AEDGE GROUP LIMITED,,SGXE57819042,XVG,$ Aedge Group
AEM HOLDINGS LTD,,SG1BA1000003,AWX,AEM SGD
AEM HOLDINGS LTD,,SG1BA1000003,XWA,AEM USD
AENZA SAA US$210M12%N290514A,,US00776DAA19,SXSB,Aenza n12%290514A
AENZA SAA US$210M12%N290514R,,USP0091FAB50,FWGB,Aenza n12%290514R
AERKOMM US$10M Z251202,,XS2243298143,CWSB,Aerkomm z251202S
AERKOMM US$200K7.5%CB251202,,XS2243298812,YJSB,Aerkomm cb7.5%251202S
AEROPUERTO US$555M4%N410811A,,US00787CAD48,TUHB,Aeropuerto n4%410811A
AEROPUERTO US$555M4%N410811R,,USP0092AAF68,LZSB,Aeropuerto n4%410811R
AEROPUERTOUS$1.3B5.125%610811A,,US00787CAE21,NOIB,Aeropuerton5.125%610811A
AEROPUERTOUS$1.3B5.125%610811R,,USP0092AAG42,JBYB,Aeropuerton5.125%610811R
AEROVIASDEMX US$400M7%N250205A,,US008065AD67,EVLB,AeroviasdeMex n7%250205A
AEROVIASDEMX US$400M7%N250205R,,USP0096BAA19,LCFB,AeroviasdeMex n7%250205R
AESANDES US$530M8.15%N550610A,,US00111VAC19,FEUB,AES Andes n8.15%550610A
AESANDES US$530M8.15%N550610R,,USP0091LAC02,IDMB,AES Andes n8.15%550610R
AESPANA US$1.38B4.375%N300531A,,US00109AAB35,YN9B,AESPanama n4.375%300531A
AESPANA US$1.38B4.375%N300531R,,USP0608AAB28,JCHB,AESPanama n4.375%300531R
AEV INTL US$400M4.2%N300116,,XS2093792013,QJMB,Aev Intl n4.2%300116S
AF GLOBAL LIMITED,,SG1C01001033,L38,AF Global
AFFINBANK US$300M5.112%N300604,,XS3085998840,IKVB,AffinBank n5.112%300604S
AFTERPAY A$1.5B Z260312,,XS2308602387,9CFB,Afterpay z260312S
AGI FIN HKD1.015B4.745%N350123,,XS2984096235,XFOB,AGI Fin n4.745%350123S
AGI FIN HKD435M4.66%N320128,,XS2984096151,UVSB,AGI Fin n4.66%320128S
AGI FIN HKD490M4.35%N320324,,XS3030258126,JIRB,AGI Fin n4.35%320324S
AGILEGRP US$100M 6.875%PCS T,,XS1799643173,8QBB,AgileGrp6.875% PCS T
AGILEGRP US$200M7.75%PCS,,XS2081524675,JMYB,AgileGrp7.75% PCS S
AGILEGRP US$300M5.5%N260517,,XS2343627712,93WB,AgileGrp n5.5%260517S
AGILEGRP US$300M6.05%N251013,,XS2243343204,HANB,AgileGrp n6.05%251013S
AGILEGRP US$314M5.5%N250421,,XS2361426559,YNXB,AgileGrp n5.5%250421S
AGILEGRP US$400M 6.875%PCS,,XS1785422731,8LQB,AgileGrp6.875% PCS S
AGILEGRP US$500M5.75%N250102,,XS2194361494,JBRB,AgileGrp n5.75%250102S
AGILEGRP US$500M7.875%PCS,,XS2071413483,WH7B,AgileGrp7.875% PCS S
AGILEGRPUS$600M 8.375%PCS,,XS2003471617,PQAB,AgileGrp8.375% PCS S
AGRICULTBKCHINA US$300M1.25%N260302,,XS2305450657,9ABB,AgriBkOfCh n1.25%260302S
AGRICULTBKCHINA US$300MF281128,,XS3138403012,WOFB,AgriBkOfChina f281128S
AGRIDEVBKCN CNY2B3.8%B301027,,HK0000646957,EFUB,AgriDeBkCn b3.8%301027S
AGRIDEVBKCNCNY1.5B3.25%B251027,,HK0000646973,JVAB,AgriDeBkCn b3.25%251027S
AGRIDEVBKCNCNY1.7B3.05%B261102,,HK0000778206,DPSB,AgriDeBkCn b3.05%261102S
AGRIDEVBKCNCNY550M3.35%B311102,,HK0000778214,YWYB,AgriDeBkCn b3.35%311102S
AIA 5XLONGUBS 270730,,CH1465033814,IHEW,AIA 5xLongUB270730
AIA 5XSHORTUBS 270730,,CH1465033822,EMMW,AIA 5xShortUB270730
AIMS APAC REIT,,SG2D63974620,O5RU,AIMS APAC Reit
AIMSAPACREITS$125M4.7%PERSEC,,SGXF73089314,PFOB,AIMS APACR4.7%PerSecS
AIMSAPACREITS$250M5.375%PERSEC,,SGXF10875296,SGFB,AIMS APACR5.375%PerSecS
AI-REITS$100M4.15%B290625,,SGXF91898266,X0DB,AI-REIT b4.15%290625S
AIRPORTS OF THAI TH SDR 1TO1,,SGXE27499115,TATD,Airports TH TH SDR1to1
AJJ MEDTECH HOLDINGS LIMITED,,SG0584008601,584,AJJ Medtech
ALAMSYNERGYUS$225M9%190129A,,US010733AB91,2X0B,AlamSyne9%190129A
ALAMSYNERGYUS$225M9%190129R,,USY00371AB37,2X1B,AlamSyne9%190129R
ALCANDELA US$650M7.5%N281215A,,US001355AA49,NAFB,AlCandela n7.5%281215A
ALCANDELA US$650M7.5%N281215R,,USE0R75QAA61,MVJB,AlCandela n7.5%281215R
ALCANDSSA US$600M5.75%N330615A,,US00870WAA45,DOQB,AlCandSSA n5.75%330615A
ALCANDSSA US$600M5.75%N330615R,,USE0R75RAB28,FCDB,AlCandSSA n5.75%330615R
ALFA US$1.098618B4.55%N510927A,,US01538TAA34,NEOB,Alfa n4.55%510927A
ALFA US$1.098618B4.55%N510927R,,USP0R60QAA15,HBLB,Alfa n4.55%510927R
ALIBABA 3XLONGSOCGEN 271125,,LU2079279290,RUMW,Alibaba 3xLongSG271125
ALIBABA 3XSHORTSOCGEN 271125,,LU2079525676,XOZW,Alibaba 3xShortSG271125
ALIBABA 5XLONGSOCGEN 270712,,LU2079527888,ZVNW,Alibaba 5xLongSG270712
ALIBABA 5XLONGSOCGEN 270930,,LU2079530247,KMMW,Alibaba 5xLongSG270930
ALIBABA 5XLONGUBS 270630,,CH1227877078,GKAW,Alibaba 5xLongUB270630
ALIBABA 5XSHORTSOCGEN 260513,,LU2517563339,56QW,Alibaba 5xShortSG260513
ALIBABA 5XSHORTSOCGEN 270309,,LU2517568056,Z7MW,Alibaba 5xShortSG270309
ALIBABA 5XSHORTSOCGEN 270907,,LU2079529587,RHDW,Alibaba 5xShortSG270907
ALIBABA 5XSHORTUBS 260529,,CH1227876856,XXRW,Alibaba 5xShortUB260529
ALIBABA 5XSHORTUBS 261030,,CH1227876971,QHWW,Alibaba 5xShortUB261030
ALIBABA 5XSHORTUBS 270831,,CH1465034002,PZLW,Alibaba 5xShortUB270831
ALIBABA HK SDR 5TO1,,SGXE32143393,HBBD,Alibaba HK SDR 5to1
ALIBABA MB ECW260105,,SGXN46938522,FTUW,Alibaba MB eCW260105
ALIBABA MB ECW260203,,SGXN16016978,UPSW,Alibaba MB eCW260203
ALIBABA MB ECW260505,,SGXN44799058,WLWW,Alibaba MB eCW260505
ALIBABA MB ECW260703,PL,SGXN82893177,XB4W,Alibaba MB eCW260703
ALIBABA MB EPW260105,,SGXN74933833,ZU7W,Alibaba MB ePW260105
ALIBABA MB EPW260105 120,,SGXN49412244,YNDW,Alibaba MB ePW260105 120
ALIBABA MB EPW260203,,SGXN27047616,GKLW,Alibaba MB ePW260203
ALIBABA MB EPW260303,,SGXN19585110,IBBW,Alibaba MB ePW260303
ALIBABA MB EPW260703,,SGXN13143676,9POW,Alibaba MB ePW260703
ALIBABA US$1.144B5.25%N350526,,US01609WBP68,V9PB,Alibaba n5.25%350526S
ALIBABA US$1.15B5.25%N350526A,,US01609WBK71,XOVB,Alibaba n5.25%350526A
ALIBABA US$1.15B5.25%N350526R,,USG01719AM89,LODB,Alibaba n5.25%350526R
ALIBABA US$1.5B2.125%N310209,,US01609WAX02,CVTB,Alibaba n2.125%310209S
ALIBABA US$1.5B3.15%N510209,,US01609WAZ59,IEFB,Alibaba n3.15%510209S
ALIBABA US$1.75B4.2%N471206,,US01609WAV46,8CWB,Alibaba n4.2%471206S
ALIBABA US$1B 4%N371206,,US01609WAU62,8CTB,Alibaba n4%371206S
ALIBABA US$1B 4.4%N571206,,US01609WAW29,8CUB,Alibaba n4.4%571206S
ALIBABA US$1B2.7%N410209,,US01609WAY84,9IWB,Alibaba n2.7%410209S
ALIBABA US$1B3.25%N610209,,US01609WBA99,MAKB,Alibaba n3.25%610209S
ALIBABA US$1B4.875%N300526A,,US01609WBH43,KHGB,Alibaba n4.875%300526A
ALIBABA US$1B4.875%N300526R,,USG01719AK24,PUIB,Alibaba n4.875%300526R
ALIBABA US$2.55B3.4%N271206,,US01609WAT99,8CVB,Alibaba n3.4%271206S
ALIBABA US$500M5.625%N541126A,,US01609WBL54,MKYB,Alibaba n5.625%541126A
ALIBABA US$500M5.625%N541126R,,USG01719AN62,HAEB,Alibaba n5.625%541126R
ALIBABA US$700M2.8%N230606,,US01609WAS17,8CSB,Alibaba n2.8%230606S
ALIBABAUS$496.02M5.625%N541126,,US01609WBQ42,X6VB,Alibaba n5.625%541126S
ALIBABAUS$995.7M4.875%N300526,,US01609WBM38,5K0B,Alibaba n4.875%300526S
ALITA RESOURCES LIMITED,,AU0000031270,40F,Alita Resources
ALLGREEN S$150MF291213,,SGXF10275117,49UB,Allgreen f291213S
ALLGREEN S$200M3.16%N300313,,SGXF67495196,UEYB,Allgreen n3.16%300313S
ALLIANCE HEALTHCARE GROUP LTD,,SGXE65282837,MIJ,Alliance HC
ALPHA DX GROUP LTD,,SGXE43564132,VVL,AlphaDX
ALPHA HLDG US$300M10%N221219A,,US02074AAA25,8NAB,AlphaHldg n10%221219A
ALPHA HLDG US$300M10%N221219R,,USP1000TAA53,8NBB,AlphaHldg n10%221219R
ALPHA INTEGRATED REIT,,SG2C57965205,M1GU,Alpha Integrated REIT
ALPHABET 3XLONGSOCGEN 261006,,LU2517562364,USJW,ALPHAB 3xLongSG261006
ALPHABET 3XLONGSOCGEN 261204,,LU2517564907,USYW,ALPHAB 3xLongSG261204US$
ALPHABET 3XLONGSOCGEN 280616,,LU2079534157,ZYGW,ALPHAB 3xLongSG280616
ALPHABET 3XSHORTSOCGEN 261006,,LU2517562448,USPW,ALPHAB 3xShortSG261006
ALPHABET 3XSHORTSOCGEN 261204,,LU2517565037,USZW,ALPHAB3xShortSG261204US$
ALSEA USD500M7.75%N261214A,,US021151AA35,GTGB,Alsea n7.75%261214A
ALSEA USD500M7.75%N261214R,,USP0R38AAA53,VRLB,Alsea n7.75%261214R
ALSET INTERNATIONAL LIMITED,,SG1AE2000006,40V,Alset
AMAGGI LUX U$750M5.25%N280128A,,US02265WAA36,GTWB,Amaggi Lux n5.25%280128A
AMAGGI LUX U$750M5.25%N280128R,,USL0183BAA90,92BB,Amaggi Lux n5.25%280128R
AMAZON 3XLONGSOCGEN 261006,,LU2517561713,USAW,AMZN 3xLongSG261006
AMAZON 3XLONGSOCGEN 261204,,LU2517564220,USQW,AMZN 3xLongSG261204US$
AMAZON 3XSHORTSOCGEN 261006,,LU2517561804,USBW,AMZN 3xShortSG261006
AMAZON 3XSHORTSOCGEN 261204,,LU2517564493,USRW,AMZN 3xShortSG261204US$
AMBANK(M)US$300M5.252%N300123,,XS2971989475,GCAB,Ambank(M)n5.252%300123S
AMBIPAR US$400M10.875%N330205A,,US02319WAB72,YMTB,Ambipar n10.875%330205A
AMBIPAR US$400M10.875%N330205R,,USL0183EAB13,90JB,Ambipar n10.875%330205R
AMBIPAR US$400M10.875%N330205T,,USL0183EAC95,PKRB,Ambipar n10.875%330205T
AMBIPAR US$750M 9.875%N310206A,,US02319WAA99,UPNB,Ambipar n9.875%310206A
AMBIPAR US$750M 9.875%N310206R,,USL0183EAA30,QFWB,Ambipar n9.875%310206R
AMCORP GLOBAL LIMITED,,SG2F79993489,S9B,Amcorp Global
AMD 3XLONGSOCGEN 280420,,LU2079532961,Z4WW,AMD 3xLongSG280420
AMD 3XSHORTSOCGEN 280420,,LU2079533001,KGZW,AMD 3xShortSG280420
AMOS GROUP LTD,,SGXE89972934,49B,AMOS Group
AMOVA ASIA EXJC ETF,,SGXC68808515,A93,Amova Asia exJC S$
AMOVA ASIA EXJC ETF,,SGXC68808515,A94,Amova Asia exJC US$
AMOVA ASIA EXJC ETF USD,,SGXC61562457,93U,Amova Asia exJC USD
AMOVA SGD IG CORP BOND ETF,,SGXC70121915,MBH,Amova SGD IGBond ETF
AMOVA SINGAPORE STI ETF S$A,,SGXPU03C7780,GAB,Amova STI ETF S$A
AMOVA SINGAPORE STI ETF S$D,,SG1X52941694,G3B,Amova STI ETF S$D
AMOVAEFUND CHINEXT CNY,,SGXC76498291,CXN,AmovaEFund ChiNext CNY
AMOVAEFUND CHINEXT CNY,,SGXC76498291,CXO,AmovaEFund ChiNext US$
AMOVAEFUND CHINEXT S$,,SGXC49949461,CXT,AmovaEFund ChiNext S$
AMOVA-ICBCSG CN BD ETF RMB,,SGXC29409643,ZHY,Amova-ICBCSG CNB CNY
AMOVA-ICBCSG CN BD ETF RMB,,SGXC29409643,ZHD,Amova-ICBCSG CNB US$
AMOVA-ICBCSG CN BD ETF SGD,,SGXC30096447,ZHS,Amova-ICBCSG CNB S$
AMOVA-STC ASIA_XJ REIT ETF,,SG1DE9000003,CFA,Amova-STC Asia REIT
AMOVA-STC ASIA_XJ REIT ETF,,SG1DE9000003,COI,Amova-STC A_REIT US$
AMOVA-STC CHINA EV ETF,,SGXC85425921,EVS,Amova-STC CN EV S$
AMOVA-STC CHINA EV ETF,,SGXC85425921,EVD,Amova-STC CN EV US$
AMP LIMITED A$275MF261109,,XS2712618615,9S6B,AMP Ltd f261109S
AMPLEFIELD LIMITED,,SG1AG0000003,AOF,Amplefield Ltd
AMTD IDEA GROUP OV,,KYG2957E1017,HKB,AMTD IDEA OV
AMTD INTL S$50M4.5%PERPSEC,,XS2165872198,Q39B,AMTD Intl 4.5%PerSecS
AMTD INTL US$200M7.25%PERPSEC,,XS2161843789,FJFB,AMTD Intl 7.25%PerSecS
AMTEK INDIA US$70M2.5%CB170921,,XS0828492206,2IGB,AmtekIndc2.5%170921S
AMUNDI MSCI EM MKET SW II ETF,,FR0010435297,H1N,Amundi EM Mkt Sw US$
AMUNDI MSCI INDIA SW UCITS ETF,,FR0010375766,G1N,Amundi MSIndia Sw US$
ANAHOLDINGS JPY150B Z311210,,XS2413708442,QYCB,ANAHoldings z311210S
ANAHOLDINGS JPY70B Z220916,,XS1673841885,7X0B,ANAHoldings z220916S
ANAN INTERNATIONAL LIMITED,,BMG036111034,Y35,AnAn Intl
ANCHUN INTERNATIONAL HLDGS LTD,,SG1CI5000000,BTX,Anchun Intl
ANLLIANCAP2 EUR1.5B Z291205,,XS2944027726,TWKB,ANLLIANCap2 z291205S
ANNAIK LIMITED,,SG1O45913009,A52,AnnAik
ANNICA HOLDINGS LIMITED,,SG1J70891671,5AL,Annica
AOXIN Q & M DENTAL GRP LIMITED,,SG1DF9000000,1D4,Aoxin Q & M
AOZORA BK US$300M2.75%B200309,,XS1567177115,6G3B,AozoraBk b2.75%200309S
AOZORA BK US$300M5.9%B260908,,XS2670471460,EPSB,AozoraBk b5.9%260908S
AOZORA BK US$350M5.9%B260302,,XS2525232430,ONAB,AozoraBk b5.9%260302S
AP OIL INTERNATIONAL LIMITED,,SG1K10892752,5AU,AP Oil
APA INFRA EUR500M1.25%N330315,,XS2315784806,PZEB,APA Infra n1.25%330315S
APA INFRA EUR500M7.125%N831109,,XS2711801287,9B3B,APA Infra n7.125%831109S
APA INFRA EUR600M0.75%N290315,,XS2315784715,YMDB,APA Infra n0.75%290315S
APA INFRA EUR600M2%N300715,,XS2164646304,GMEB,APA Infra n2%300715S
APA INFRA EUR650M2%N270322,,XS1205616698,26NB,APA Infra n2%270322S
APA INFRA GBP250M2.5%N360315,,XS2315784988,QUBB,APA Infra n2.5%360315S
APA INFRA GBP400M3.125%N310718,,XS1963555534,JDWB,APA Infra n3.125%310718S
APA INFRA GBP600M3.5%N300322,,XS1205617829,26OB,APA Infra n3.5%300322S
APA INFRA JPY10B1.025%N340613,,XS2008992880,ILGB,APA Infra n1.025%340613S
APAC REALTY LIMITED,,SG1DJ0000001,CLN,APAC Realty
APEIRON S$50M4.487%B280623,,SGXF21420884,MNIB,Apeiron b4.487%280623S
APPLE 3XLONGSOCGEN 261006,,LU2517561556,MACW,APPLE 3xLongSG261006
APPLE 3XLONGSOCGEN 261204,,LU2517564063,IPTW,APPLE 3xLongSG261204US$
APPLE 3XSHORTSOCGEN 261006,,LU2517561630,PODW,APPLE 3xShortSG261006
APPLE 3XSHORTSOCGEN 261204,,LU2517564147,IPUW,APPLE 3xShortSG261204US$
ARIS MC USD300M6.875%N260809A,,US38501DAR61,DCWB,Aris MC n6.875%260809A
ARIS MC USD300M6.875%N260809R,,USC41069AA01,GNDB,Aris MC n6.875%260809R
ASAHI ML US$375M6.9%PERPBOND,,XS2538738175,5S3B,Asahi ML 6.9%PerpBondS
ASAHI ML USD380M4.1%PERPBOND,,XS2282238083,9GEB,Asahi ML 4.1%PerpBondS
ASAHI REFINING US$200M Z260316,,XS2306982286,55OB,Asahi Refining z260316S
ASAHIGRP EUR500M3.384%B290416,,XS2799473637,EIBB,AsahiGrp b3.384%290416S
ASAHIGRP EUR500M3.464%B320416,,XS2799473801,MWJB,AsahiGrp b3.464%320416S
ASAHIGRP EUR600M0.336%B270419,,XS2328981431,YA7B,AsahiGrp b0.336%270419S
ASAHIGRP EUR600M1.151%B250919,,XS1577951715,7X2B,AsahiGrp b1.151%250919S
ASAHIGRP EUR800M0.541%B281023,,XS2242747348,58FB,AsahiGrp b0.541%281023S
ASCENDASPTE S$75M3.5%260324,,SG71F6000000,3U9B,AscendasPte n3.5%260324S
ASCENDASR S$208M3.468%N290419,,SGXF98299294,ZH4B,AscendasRn3.468%290419S
ASCENDASREIT S$200M2.47%230810,,SG7FD5000001,7F4B,AscendasR n2.47%230810S
ASCENDASREITEUR300M0.75%280623,,XS2349343090,9RDB,AscendasR n0.75%280623S
ASCENDASREITHK$1.45B3.57%29032,,XS1966016948,EEEB,AscendasR n3.57%290320S
ASCENDASREITHKD661M3.08%320217,,XS2448395843,RPIB,AscendasR n3.08%320217S
ASCENDASREITHKD950M2.63%311024,,XS2403268258,9MWB,AscendasR n2.63%311024S
ASCENDASREITS$100M2.65%N300826,,SGXF53470518,98NB,AscendasR n2.65%300826S
ASCENT BRIDGE LIMITED,,SG1AJ1000006,AWG,Ascent Bridge
ASCOTTRMTN S$100M4.223%N280508,,SGXF57942520,TFYB,AscottRM n4.223%280508S
ASCOTTRMTN S$120M3.69%N290315,,SGXF65834677,VS2B,AscottRM n3.69%290315S
ASCOTTRMTN S$120M4.2%N280906,,SGXF93037806,WQ2B,AscottRM n4.2%280906S
ASCOTTRMTN S$165M5%N260518,,SGXF79339861,MMMB,AscottRM n5%260518S
ASCOTTRMTNJPY16.5B1.05%N291107,,XS2551825016,UTTB,AscottRMn1.05%291107S
ASCOTTRMTNS$200M 3.63%N270420,,SGXF16539490,WCRB,AscottRM n3.63%270420S
ASIA ENTERPRISES HOLDING LTD,,SG1S11926551,A55,Asia Enterprises
ASIA VETS HOLDINGS LTD.,,SG2B95959500,5RE,Asia Vets
ASIAMEDIC LIMITED,,SG0505000059,505,AsiaMedic
ASIAN MICRO HOLDINGS LTD,,SG1H05873721,585,Asian Micro
ASIAN PAY TELEVISION TRUST,,SG2F77993036,S7OU,Asian Pay Tv Tr
ASIA-PACIFIC STRATEGIC INV LTD,,SG2B89959318,5RA,AP Strategic
ASIAPHOS LIMITED,,SG2G24997246,5WV,AsiaPhos
ASIATIC GROUP (HOLDINGS) LTD,,SG1N86910089,5CR,Asiatic
ASL MARINE HOLDINGS LTD,,SG1N25909283,A04,ASL Marine
A-SMART HOLDINGS LTD.,,SG1CF3000008,BQC,A-Smart
A-SONIC AEROSPACE LIMITED,,SG1CH8000009,BTJ,A-Sonic Aero
ASPEN (GROUP) HOLDINGS LIMITED,,SG1DI2000001,1F3,Aspen
ASPIAL CORPORATION LIMITED,,SG1G71871634,A30,Aspial Corp
ASPIAL LIFESTYLE LIMITED,,SG2E90982678,5UF,Aspial Lifestyle
ASPIAL S$132.75M6.5%PERSEC,,SGXF68811953,IANB,Aspial 6.5%PerSecS
ASPIAL S$32.75M6.5%N251221,,SGXF39759570,W5HB,Aspial n6.5%251221S
ASPIAL S$43.5M6.5%N270702,,SGXF75992721,V6FB,Aspial n6.5%270702S
ASPIALLIFEST S$70M6.25%N270924,,SGXF68311988,XREB,AspialLife n6.25%270924S
ASPIALLIFEST S$75M5.1%N291029,,SGXF62437946,KMKB,AspialLife n5.1%291029S
ASSURANCE HEALTHCARE LIMITED,,SGXE83751573,RCU,Assurance HC
ASTAKA HOLDINGS LIMITED,,SG1CB5000005,42S,Astaka
ASTI HOLDINGS LIMITED,,SG1G77872271,575,ASTI
ASTREA III US$100M6.5%N260708,,XS1432391875,4H1B,AstreaIIIn6.5%260708S
ASTREA VI S$382M3%B310318,,SGXF34882443,6AZB,Astrea VI3%B310318#
ASTREA VI US$130M4.35%B310318,,XS2308495360,XD8B,Astrea VI 4.35%B310318S
ASTREA VI US$228M3.25%B310318,,XS2308478515,JNCB,Astrea VI 3.25%B310318S
ASTREA7CLA1S$526M4.125%320527,,SGXF50246630,V7AB,Astrea7A1 4.125%320527#
ASTREA7CLA2US$175M5.35%320527,,XS2480766158,W5NB,Astrea7A2 5.35%320527S
ASTREA7CLBUS$200M6%320527,,SGXF67664494,V7BB,Astrea7B 6%320527#
ASTREA8CLA1S$520M4.35%390719,,SGXPM06B2656,Z1AB,Astrea8A1 4.35%390719#
ASTREA8CLA2US$200M6.35%390719,,SGXPM06BV5U6,Z2AB,Astrea8A2 6.35%390719#
